DistrictId,District,BlockId,Block,ClusterId,Cluster,SchoolId,School,SchoolCategory,SchoolManagement,TotalSchoolStudent,Class1_Boys,Class1_Girls,Class1_Transgender,Class1_Total,AsonDate
2404,MAHESANA,240402,KADI,2404020003,KADI KANYA SHALA - 4,24040207401,KASVA PRIMARY SCHOOL,2,3,22,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040207701,KHANDERAVPURA PAY CENTER  SCH,2,3,12,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020005,KADI KUMAR SHALA - 3,24040207601,KHANDMORVA PRI SCHOOL,2,3,11,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040207801,KHAVAD PRIMARY SCHOOL,2,3,27,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040207901,KHERPUR PRIMARY SCHOOL,2,3,27,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040208001,KOLAD PRIMARY SCHOOL,2,3,18,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040206104,KOMAL GAURAV PATEL ADARSH PRI. SCHOOL (ENG),2,5,50,3,1,0,4,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040208101,KORADA PRIMARY SCHOOL,2,3,8,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040208201,LAXMANPURA PRIMARY SCHOOL,1,3,6,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020004,KADI KUMAR SHALA - 2,24040208301,LAXMIPURA (KADI) PRI SCHOOL,2,3,15,0,2,0,2,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020012,RAJPUR,24040208401,LAXMIPURA (NAND) PRI SCHOOL,2,3,25,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040208501,LHOR PRIMARY SCHOOL,2,3,22,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020007,KARANNAGAR,24040208601,LUNASAN PRIMARY SCHOOL,2,3,45,1,1,0,2,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020014,VISATPURA,24040208701,MAHARAJPURA PRIMARY SCHOOL,1,3,2,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020002,DARAN,24040208801,MANIPUR PRIMARY SCHOOL,2,3,10,1,0,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040208901,MATHASUR PRIMARY SCHOOL,2,3,37,2,2,0,4,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020009,MEDA ADARAJ,24040209001,MEDA ADARAJ PAY CENTER SCH,2,3,46,4,5,0,9,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040209101,MEDHA PRIMARY SCHOOL,2,3,12,1,1,0,2,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020009,MEDA ADARAJ,24040209201,MERDA PRIMARY SCHOOL,2,3,4,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040209301,MOKASAN PRIMARY SCHOOL,2,3,16,0,1,0,1,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020010,MEDHA,24040209501,NADAN PRIMARY SCHOOL,2,3,18,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020008,KUNDAL,24040209601,NAGARASAN PRIMARY SCHOOL,2,3,14,0,0,0,0,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040209710,NANDASAN ENGLISH MEDIUM SCHOOL,6,5,27,2,1,0,3,8/19/2026 12:26
2404,MAHESANA,240402,KADI,2404020011,NAVAPURA (NA),24040209707,NANDASAN NAVIN MIX SCHOOL - 3,1,3,12,0,1,0,1,8/19/2026 12:26
